seed,alpha,VE,mv_energy_volume,mv_vfe_volume,mv_vfe_cov,mm_energy_volume,mm_vfe_volume,mm_vfe_cov,cb_energy_volume,cb_vfe_volume,cb_vfe_cov,cw_energy_volume,cw_vfe_volume,cw_vfe_cov
13.0,0.5,-0.4568658665594558,0.011031062059617833,1.7842430998025713,1.0,0.003198488498610457,0.9607662941535438,1.0,0.011933551927527616,1.641947422746417,1.0,0.0039440139770770015,0.9482016687201681,1.0
13.0,0.55,-0.4568658665594558,0.013120790702568537,1.9459217211908426,1.0,0.004109871776857646,1.0890792867332992,1.0,0.014689672360136699,1.814008274850402,1.0,0.004906814518082492,1.0463343763343658,1.0
13.0,0.6,-0.4568658665594558,0.015456461577093133,2.1120315488040435,1.0,0.005692588962346784,1.28174099555997,1.0,0.015983757558400213,1.8860183905542958,1.0,0.006915508670246341,1.2614393110672166,1.0
13.0,0.65,-0.4568658665594558,0.017918170118971087,2.274009055130493,1.0,0.007702494285296566,1.490943048059465,1.0,0.0191996495221871,2.1632256860232015,1.0,0.009080594616821935,1.4962948374805591,1.0
13.0,0.7,-0.4568658665594558,0.01988772215956722,2.395730070068552,1.0,0.008045192708987941,1.5237495403405874,1.0,0.02150715222656208,2.188498857430032,1.0,0.010281427203122077,1.5286422664043147,1.0
13.0,0.75,-0.4568658665594558,0.023073174715990546,2.5804713360610774,1.0,0.011238837375276946,1.8009682456102412,1.0,0.022666343727417455,2.212365658019114,1.0,0.011933551927527616,1.641947422746417,1.0
13.0,0.8,-0.4568658665594558,0.02605534856436139,2.742166403693443,1.0,0.015967397504967982,2.146655880572119,1.0,0.02624912893539328,2.432283089874334,1.0,0.015983757558400213,1.8860183905542958,1.0
13.0,0.85,-0.4568658665594558,0.033485547527325035,3.108666006809913,1.0,0.016540410060005444,2.184834263627221,1.0,0.03764358408740721,3.064160568071388,1.0,0.02150715222656208,2.188498857430032,1.0
13.0,0.9,-0.4568658665594558,0.04163293244610701,3.4662817679532063,1.0,0.017884743441321127,2.2718869619989905,1.0,0.04884350916625914,3.5731413470803095,1.0,0.02624912893539328,2.432283089874334,1.0
13.0,0.95,-0.4568658665594558,0.0598165505160923,4.154856648309115,1.0,0.03302928835244724,3.087414718301529,1.0,0.08618441391916577,4.911136528480621,1.0,0.04884350916625914,3.5731413470803095,1.0
14.0,0.4,-0.11075399442968781,0.0013061710926508356,0.22066157368579004,0.0,0.00043864736687211593,0.12787464482273583,0.0,0.0016501282178874646,0.26344596379918106,1.0,0.0004421843588641003,0.13616345819658401,0.0
14.0,0.45,-0.11075399442968781,0.0014532713425070493,0.23275554276538868,1.0,0.000516447497411062,0.13875216418001365,0.0,0.0018304826272954899,0.2750708385096978,1.0,0.0005393757167655894,0.14900140835284884,0.0
14.0,0.5,-0.11075399442968781,0.0017315205863385895,0.2540624645971135,1.0,0.000661597846308557,0.15704485702390145,0.0,0.0019972524948108877,0.28410773868322337,1.0,0.0006749301635258308,0.17614667127234487,0.0
